"Icon","ID","Title","Description","Type","Player Prompt","Objective Proposal Response","In Progress Response","Destination Completion Available Prompt","Destination Completion Available Response","Difficulty Level","Required Level","Achievement Id","Required Achievement Id","Can Be Abandoned","Can Be Shared","Can Fast Travel","Difficulty","Entitlement Id","Exclusive Territory","Experience Reward","Failure Game Event Id","Flag Pvp","Hide Available Map Icon","Hide Incomplete Turnin Marker","Item Reward Name","Item Reward Qty","Max Influence Level","NOTE","NOTES","Npc Destination Id","ORMRelease Active Override","ORMRelease Event Tags","Objective Acceptance Response","Objective Completion Response","Objective On Cooldown Response","Objective Reward","Progression Reward","Push Objective On Req Met","Push Objective On Req Retrigger","Quest Arc Tag","Repeatable","Require All Progression","Required Entitlement Id","Required Faction","Required Game Mode Id","Required World Tags","Reward Type","Reward With Player Level","Schedule Id","Should Reset In Progress Quest On Schedule End","Should Reset On Faction Change","Skip Req Achievment When Invalid","Success Game Event Id","Task","Affinity Rewards","Azoth Reward","Azoth Reward Chance","Azoth Salt","Azoth Salt Chance","Categorical Progression Id","Categorical Progression Reward","Coin Reward Chance","Creature Type","Currency Reward","Cursed Crowns","Cursed Silvers","Emit Telemetry","Event ID","Faction Influence Amount","Faction Influence Src","Faction Reputation","Faction Tokens","Game Event Type","Gear Score Range","Ignore Economy Tracker","Item Reward","Leaderboard Value","Level","Loot Limit Id","Loot Limit Reached Game Event Id","Loot Limit Reached Game Event Keep Overrides","Loot Tags","PVPXP","Remove Status Effect Categories","Remove Status Effects","Reward  Type","Reward Modifier","Rewards Notes","Scheduled Game Event Id","Seasons Xp","Status Effect Id","Territory Standing","Universal Exp Amount","Use Rested Exp","Whisper ID","Xp Of Current Level"
"","M_bounty_kill_X_enemies_location","Kill Mission","","Mission","","","","","","0","","","","true","true","true","","","","","FactionMission_Failure","false","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","FactionMission_Success_R1_Sm","M_task_kill_X_enemies_container_location","","0","0","0","0","","0","0","Mission-","225","","","true","FactionMission_Success_R1_Sm","0","Missions","40","40","","","","","0","15","","","","","","","","","","","","0","","125","430","","","0"
"","M_bounty_kill_X_enemies","Kill Mission","","Mission","","","","","","0","","","","true","true","true","","","","","FactionMission_Failure","false","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","FactionMission_Success_R1_Sm","M_task_kill_X_enemies_container","","0","0","0","0","","0","0","Mission-","225","","","true","FactionMission_Success_R1_Sm","0","Missions","40","40","","","","","0","15","","","","","","","","","","","","0","","125","430","","","0"
"","M_merchant_transport_item","Delivery Mission","","Mission","","","","","","0","","","","true","true","false","","","","","FactionMission_Failure","false","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","FactionMission_Success_R1_Sm","M_task_transport_item_container","","0","0","0","0","","0","0","Mission-","225","","","true","FactionMission_Success_R1_Sm","0","Missions","40","40","","","","","0","15","","","","","","","","","","","","0","","125","430","","","0"
"","M_procurer_acquire_X_items","Acquisition Mission","","Mission","","","","","","0","","","","true","true","true","","","","","FactionMission_Failure","false","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","FactionMission_Success_R1_Sm","M_task_acquire_X_items_container","","0","0","0","0","","0","0","Mission-","225","","","true","FactionMission_Success_R1_Sm","0","Missions","40","40","","","","","0","15","","","","","","","","","","","","0","","125","430","","","0"
"","M_procurer_craft_workorder_items","Craft {itemName}","","Mission","","","","","","0","","","","true","true","true","","","","","FactionMission_Failure","false","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","FactionMission_Success_R1_Sm","M_task_craft_workorder_items_container","","0","0","0","0","","0","0","Mission-","225","","","true","FactionMission_Success_R1_Sm","0","Missions","40","40","","","","","0","15","","","","","","","","","","","","0","","125","430","","","0"
"","M_explorer_acquire_X_items_POITag","Explore and Find","","Mission","","","","","","0","","","","true","true","true","","","","","FactionMission_Failure","false","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","FactionMission_Success_R1_Sm","M_task_acquire_X_items_POITag_container","","0","0","0","0","","0","0","Mission-","225","","","true","FactionMission_Success_R1_Sm","0","Missions","40","40","","","","","0","15","","","","","","","","","","","","0","","125","430","","","0"
"","M_explorer_acquire_X_items_POITag_territory","Explore and Find","","Mission","","","","","","0","","","","true","true","true","","","","","FactionMission_Failure","false","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","FactionMission_Success_R1_Sm","M_task_acquire_X_items_POITag_territory_container","","0","0","0","0","","0","0","Mission-","225","","","true","FactionMission_Success_R1_Sm","0","Missions","40","40","","","","","0","15","","","","","","","","","","","","0","","125","430","","","0"
"","M_explorer_acquire_X_items_territory","Explore and Find","","Mission","","","","","","0","","","","true","true","true","","","","","FactionMission_Failure","false","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","FactionMission_Success_R1_Sm","M_task_acquire_X_items_territory_container","","0","0","0","0","","0","0","Mission-","225","","","true","FactionMission_Success_R1_Sm","0","Missions","40","40","","","","","0","15","","","","","","","","","","","","0","","125","430","","","0"
"","M_explorer_aquire_X_items_kill_X_enemies","Cull Enemies for Items","","Mission","","","","","","0","","","","true","true","true","","","","","FactionMission_Failure","false","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","FactionMission_Success_R1_Sm","M_task_aquire_X_items_kill_X_enemies_container","","0","0","0","0","","0","0","Mission-","225","","","true","FactionMission_Success_R1_Sm","0","Missions","40","40","","","","","0","15","","","","","","","","","","","","0","","125","430","","","0"
"","M_explorer_aquire_X_items_kill_X_enemies_POITag","Cull Enemies for Items","","Mission","","","","","","0","","","","true","true","true","","","","","FactionMission_Failure","false","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","FactionMission_Success_R1_Sm","M_task_aquire_X_items_kill_X_enemies_POITag_container","","0","0","0","0","","0","0","Mission-","225","","","true","FactionMission_Success_R1_Sm","0","Missions","40","40","","","","","0","15","","","","","","","","","","","","0","","125","430","","","0"
